name,win_count,wikipedia,gender,country,hobbies,age,disciplines,index,,,
McKEON Emma,10,https://en.wikipedia.org/wiki/Emma_McKeon,Female,Australia,"Reading, going to the beach, travelling, cooking, watching television",30,Swimming,10,,,
ZHANG Yufei,10,https://en.wikipedia.org/wiki/Zhang_Yufei_(swimmer),Female,China,"Cross-stitching, watching television",26,Swimming,9,,,
McKEOWN Kaylee,9,https://en.wikipedia.org/wiki/Kaylee_McKeown,Female,Australia,Going to the beach,23,Swimming,8,,,
DRESSEL Caeleb,8,https://en.wikipedia.org/wiki/Caeleb_Dressel,Male,United States,"Boating, wakeboarding, being outdoors, motorcycling, camping, walking, reading. Socialising with friends, playing video games, drums",28,Swimming,7,,,
O'CALLAGHAN Mollie,8,https://en.wikipedia.org/wiki/Mollie_O%27Callaghan,Female,Australia,"Spending time with friends, painting, art, sewing",20,Swimming,6,,,
SMITH Regan,8,https://en.wikipedia.org/wiki/Regan_Smith_(swimmer),Female,United States,"Spending time with friends, watching TV shows, water sports on the lake, bowling, online shopping, watching ice skating and gymnastics, getting her nails done",22,Swimming,5,,,
TITMUS Ariarne,8,https://en.wikipedia.org/wiki/Ariarne_Titmus,Female,Australia,Cooking,24,Swimming,4,,,
ANDRADE Rebeca,6,https://en.wikipedia.org/wiki/Rebeca_Andrade,Female,Brazil,"Singing, dancing. ""Singing does me a lot of good. I train and sing. I clean the house and sing. The shower is a good friend."" (hugogloss-uol-com.br, 24 Aug 2021)",25,Artistic Gymnastics,3,,,
BILES Simone,6,https://en.wikipedia.org/wiki/Simone_Biles,Female,United States,"Shopping, spending time with friends",27,Artistic Gymnastics,2,,,
CARRINGTON Lisa,6,https://en.wikipedia.org/wiki/Lisa_Carrington,Female,New Zealand,"Fishing, walking, exploring, surfing, relaxing, watching television, cooking, baking",30,Canoe Sprint,1,,,
